Sentence,Sentiment,Sentence_clear
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",negative,adp news feb 4 2009 finnish broadband datum communication system solution company teleste oyj hel tlt1v say today net profit decrease eur 55 million usd 72 2008 eur 94 million 200
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki afx share close high lead nokia announce plan team sanyo manufacture 3 g handsets nokian tyre fourthquarter earning report beat analyst expectation dealer say
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,neutral,finnish navigation device manufacturer benefon change name geosentric report net sale eur 11 mn second quarter 2007
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,neutral,le coq market share 413 percent rival beverage group saku 321 percent
"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for .",neutral,particular attention pay energy efficiency construction building design meet requirement energy class b leed certification apply
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,neutral,today orange scissors iconic symbol excellent ergonomic design superior quality associate every product fiskar
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",neutral,close omx helsinki 25 001 pct low 306764 point omx helsinki 005 pct 1032146 point 1343 bln eur turnover
"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order .",positive,tallink claim watertight door vana tallinn regina baltica include electrical system fully work order
This resulted in improved sales figures in Sweden .,positive,result improved sale figure sweden
The arrangements do not apply to the group 's units outside Finland .,neutral,arrangement apply group unit outside finland
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,neutral,operating profit eur 16 mn 2005 compare eur 59 mn 2004
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative,rbi surprise street sensex pare gain hit mount 30k
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,adp news sep 30 2008 finnish security privacy software solution developer stonesoft oyj say today usd 19 million eur 13 order deliver stonegate network security product unnamed russian te
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,tieto service also use send process receive material relate absentee voting
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,finlandbased stockmann group close seven franchising sport store nike russia
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,whitbread profit sale continue rise look new ceo
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,aspocomp repay interest bear liability standard charter bank use rest consideration partially repay interest bear liability finland improve liquidity
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,fastenal miss 001 miss revenue fast nyse httpstco63jhq7pwmn
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,neutral,finnish investment group norvestia oyj say net profit fall 235 mln euro 306 mln 2006 335 mln euro 436 mln 2005
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral,commission find evidence several meeting discuss cartel include one brussels restaurant november 1997 company discuss price increase
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,part reorganisation measure take place spring 2006 tamglass finton start personnel negotiation affect entire staff 33
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral,correnspond 4628 percent okmetic share capital voting right
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive,tim cockroft bring excellent track record 18 year experience moreover tim successfully develop capital market operation kaupthe singer friedlander involve corporate finance broking focus midmarket company
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,25 november 2010 finnish paint coating company tikkurila oyj hel tik1v say today finnish stateowne investment company solidium oy sell 147 stake company total eur98 m
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,runway visual range calculate assessment distance pilot see runway
"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million ) .",neutral,abn amro capital agree sell helsinkibase designer homeware producer iittala oyj crosstown consumer product group fiskar corp eur230 million eur235 million 310 million 316 million
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,feed company suomen rehu raisio import gmo feed
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral,tecnoman solution use prepaid postpaid billing charge rating voice video call datum traffic kind content service mobile fix network
