sentence,sentiment,sentence_clear,sentence_pt
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .","A Prothious Engineering (www.prothious.com) emprega mais de 1.000 pessoas, possui um amplo portfólio de projetos e uma capacidade anual de detalhamento superior a 100.000 toneladas."
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",neutral,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .","A Qualcomm estimou um lucro no primeiro trimestre entre 46 e 50 centavos por ação, excluindo certos itens, abaixo da estimativa dos analistas de 61 centavos por ação."
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","O fornecimento de liquidez foi interrompido em 11 de maio de 2007, quando as ações da Aspocomp Group Oyj foram negociadas abaixo de 0,50 centavos (comunicado da Aspocomp à bolsa de valores em 11/05/2007)."
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,neutral,The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,O período de subscrição do programa de garantias da Amer Sports de 2002 terminará em 31 de dezembro de 2007.
This transaction will also rationalize our pulp and paper industry related solutions .,positive,This transaction will also rationalize our pulp and paper industry related solutions .,Esta transação também irá racionalizar nossas soluções relacionadas à indústria de celulose e papel.
"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",neutral,"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .","schwalm (at) outotec.com Eila Paatela, Vice-Presidente - Comunicação Corporativa tel. +358 20 529 2004, celular +358 400 817198 e-mail eila."
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .","""Estou ansiosa para contribuir para o sucesso da SRV com a minha competência"", afirma Taneli Hassinen."
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",neutral,"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .","No quarto trimestre de 2008, as vendas líquidas diminuíram para 121,4 milhões de euros, em comparação com 165,5 milhões de euros no quarto trimestre de 2007."
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,"A MedImmune, da AstraZeneca, firma acordo de licenciamento com a Omnis Pharmaceuticals."
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .","A entrada de pedidos cresceu 40% em relação ao ano anterior e 30% em relação ao ano anterior, respectivamente, para 576 milhões de euros e 1,7 bilhão de euros nos períodos de janeiro a setembro e julho a setembro de 2010, respectivamente."
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .","Durante a greve, a Finnair estima incorrer em um prejuízo líquido entre 2 milhões e 2,5 milhões de euros por dia."
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","Atualmente, 95% das receitas da Trainers House são provenientes do mercado finlandês."
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,O oxímetro de pulso Oxyview é um dispositivo comum para verificar o nível de saturação de oxigênio no sangue e a frequência cardíaca do paciente.
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",neutral,"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .","A gigante russa do gás investiu mais 46 milhões de litas na empresa no final de 2004 e agora detém 99,5% do seu capital social, o que equivale a 86,936 milhões de litas."
"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",neutral,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .","A empresa utilizará o dinheiro para o desenvolvimento de produtos e atividades de pesquisa ao longo de 2013 em seus principais mercados: Finlândia, Alemanha, Itália e França."
"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .",neutral,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .","Por meio de sua parceria com a subsidiária dinamarquesa da finlandesa Paulig, a Oscar, a Puljonki adquiriu uma organização de vendas no mercado europeu."
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,O banco finlandês OKO assinou um acordo de cooperação com o Raiffeisen relativo aos investimentos de empresas finlandesas na Rússia.
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,neutral,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor  49.5 million in cash .,"O banco finlandês Alandsbanken anunciou na segunda-feira que comprará as operações suecas do problemático banco islandês Kaupthing por 414 milhões de coroas suecas ou 49,5 milhões em dinheiro."
Exports grew 16.5 percent to 19.1 million liters .,positive,Exports grew 16.5 percent to 19.1 million liters .,"As exportações cresceram 16,5%, atingindo 19,1 milhões de litros."
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .","A Digia informou que suas vendas líquidas consolidadas de janeiro a junho de 2010 foram de 67,8 milhões de euros, um aumento de 9,7% em relação ao mesmo período de 2009 (61,9 milhões de euros)."
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral,"The company , employing 6,400 , reported net sales of 620 mln euro  823.2 mln for 2006 .","A empresa, que emprega 6.400 pessoas, registrou vendas líquidas de 620 milhões de euros (823,2 milhões de euros) em 2006."
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,"TRLPC - CRH apoia a aquisição de ativos da Lafarge Holcim com empréstimo-ponte de 6,5 bilhões de euros"
G4S sees profits rise but UK contract problems remain,positive,G4S sees profits rise but UK contract problems remain,"A G4S vê seus lucros aumentarem, mas os problemas com contratos no Reino Unido persistem."
The office space will rise above the remodeled Cannon Street underground station .,neutral,The office space will rise above the remodeled Cannon Street underground station .,O espaço para escritórios será construído acima da estação de metrô remodelada da Cannon Street.
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .","De acordo com o plano de fusão original, a Scanfil ficaria com uma participação de 79% na empresa resultante da fusão."
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .","Como resultado, a empresa irá suspender temporariamente o contrato de trabalho de 25% de todo o seu quadro de funcionários, aproximadamente 270 pessoas nas fábricas de Kirkkonummi e Nivala."
